Phonemic,Katakana,PartOfSpeech
[⸢ʔaː⸣ssuŋ],アーッスン,名
[⸢ʔaː⸣ʦubeː],アーツベー,名
[⸢ʔaː⸣ʦumeː],アーツメー,名
[⸢ʔaːtim⸣poː],アーティンポー,名
[⸢ʔaːtoːtu],アートートゥ,感
[⸢ʔaː⸣nijaː],アーニヤー,名
[⸢ʔaːnu⸣ʔiː],アーヌイー,名
[⸢ʔaː⸣nu ʔi⸢ba⸣ʧi],アーヌイバチ,連
[⸢ʔaː⸣nu ⸢kai],アーヌカイ,連
[⸢ʔaː⸣nu ⸣ʃiʤi],アーヌシジ,連
[⸢ʔaː⸣nu ⸢pam⸣biŋ],アーヌパンビン,連
[⸢ʔaː⸣nu pi̥⸢saʃi⸣ʔiː],アーヌピサシイー,連
[⸢ʔaː⸣nu ⸣puː],アーヌプー,連
[⸢ʔaːnumiː⸣su],アーヌミース,名
[⸢ʔaːnu⸣muʧi],アーヌムチ,名
[⸢ʔaː⸣nuŋ],アーヌン,名
[⸢ʔaː⸣neː],アーネー,名
[⸢ʔaː⸣pa],アーパ,名
[⸢ʔaː⸣pa],アーパ,名
[ʔaː⸢paː⸣ma],アーパーマ,名
[⸣ʔaːpaːreː],アーパーレー,名
[⸣ʔaːpaːreː],アーパーレー,名
[⸣ʔaːpaːreːʔuta],アーパーレーウタ,名
[⸢ʔaː⸣bi],アービ,名
[⸢ʔaːpiki⸣ʔuʃi],アーピキウシ,名
[⸢ʔaːpuː⸣ru],アープール,名
[⸢ʔaːɸukikaː⸣ɸu̥ki],アーフキカーフキ,副
[⸢ʔaːbu⸣ku],アーブク,名
[⸢ʔaːɸukuŋ],アーフクン,自動
[⸢ʔaːmiːboː⸣saː],アーミーボーサー,名
[⸢ʔaː⸣miki],アーミキ,名
[⸢ʔaː⸣muʧi],アームチ,名
[⸢ʔaː⸣muru],アームル,名
[⸢ʔaː meː],アーメー,感
[⸢ʔaː⸣ja],アーヤ,名
[⸢ʔaː⸣jabui],アーヤブイ,名
[⸢ʔaːra],アーラ,名
[⸢ʔaːraː⸣ s⸢saː⸣keːŋ],アーラーッサーケーン,文
[⸢ʔaːraki],アーラキ,名
[⸢ʔaːraʃipaku],アーラシパク,名
[⸢ʔaːra⸣suŋ],アーラスン,他動
[⸢ʔaːrasuŋ],アーラスン,他動
[⸢ʔaːrasuŋ],アーラスン,他動
[⸢ʔaːrasuŋ],アーラスン,他動
[⸢ʔaːrasuŋ],アーラスン,他動
[⸢ʔaːrasuŋ],アーラスン,他動
[⸢ʔaːrappaː],アーラッパー,名
[⸢ʔaːrappaːʃiː],アーラッパーシー,名
[⸢ʔaːra⸣nibaru],アーラニバル,名
[⸢ʔaːrabaka],アーラバカ,名
[⸢ʔaːrabakaminatu],アーラバカミナトゥ,名
[⸢ʔaːramaiʣuni],アーラマイズニ,名
[⸢ʔaːraŋkaː],アーランカー,名
[⸢ʔaːribana],アーリバナ,名
[⸢ʔaːrimːma],アーリンーマ,名
[⸢ʔaːru],アール,名
[⸢ʔaːrukadʒi],アールカジ,名
[⸢ʔaːrutida],アールティダ,名
[⸢ʔaːruba⸣ jumi],アールバユミ,連
[⸢ʔaːrupisa],アールピサ,名
[⸢ʔaːrubirutida],アールビルティダ,名
[⸢ʔaːrumuti],アールムティ,名
[ʔaː⸣ruŋ],アールン,自動
[⸢ʔaːruŋ],アールン,自動
[⸢ʔaːruŋ],アールン,自動
[⸢ʔaːruŋ],アールン,自動
[⸢ʔaːruŋ],アールン,自動
[⸢ʔaːruŋ],アールン,自動
[⸢ʔaːruŋ],アールン,自動
[ʔaːruŋkai],アールンカイ,名
[⸢ʔaːreː],アーレー,名
[⸢ʔaːreːki],アーレーキ,名
[⸣ʔai],アイ,副
[⸣ʔai],アイ,感
[⸣ʔai],アイ,名
[⸣ʔai],アイ,名
[⸣ʔai],アイ,名
[⸢ʔai],アイ,名
[⸣ʔai],アイ,感
[⸢ʔa⸣i],アイ,感
[ʔaiː⸢jiː],アイーイー,感
[ʔaiː⸢jiː⸣ ʔauru ⸢jattaː],アイーイーアイルヤッター,連
[⸣ʔaiʔai],アイアイ,感
[ʔai⸢ʔiʤi⸣kaiʔiʤi],アイイジカイイジ,副
[⸢ʔaiʔiʣu],アイイズ,名
[⸢ʔaikaːɸuŋ⸣kaː],アイカーフンカー,名
[⸣ʔaikai],アイカイ,名
[⸣ʔaikai],アイカイ,副
[⸢ʔai⸣kami],アイカミ,名
[⸢ʔai⸣kaŋ],アイカン,名
[⸢ʔai⸣ku],アイク,名
[⸣ʔai⸢sabaŋ⸣ kai⸢sabaŋ],アイサバンカイサバン,副
[⸢ʔai⸣ʣamutu],アイザムトゥ,名
[⸢ʔai⸣ʣamutunu ⸣ʔuta],アイザムトゥヌウタ,連
[⸣ʔaiʃi],アイシ,連
[⸢ʔai⸣ʤi],アイジ,名
[ʔai⸢ʃiː⸣ kaiʃiː],アイシーカイシー,連
[⸣ʔaiʃiːkaiʃiː],アイシーカイシー,副
[ʔai⸢ʃiː⸣kaiʃiː],アイシーカイシー,副
[⸢ʔaiʃi̥ʧi],アイシチ,名
[⸢ʔaiʃi̥ʧijuː],アイシチユー,名
[ʔaiʃi̥⸢ti],アイシティ,接
[⸢ʔaiʤoː],アイジョー,名
[⸣ʔaiʃiŋ ⸣kaiʃiŋ],アイシンカイシン,連
[⸣ʔaiʃiŋkaiʃiŋ],アイシンカイシン,副
[⸣ʔaiʃiŋkaiʃiŋ],アイシンカイシン,副
[⸣ʔai⸢ʃiŋ⸣kaiʃiŋ],アイシンカイシン,副
[ʔai⸢ʃiŋ⸣kaiʃiŋ],アイシンカイシン,副
[⸣ʔai ⸢suː⸣kaː],アイスーカー,連
[⸣ʔai ⸢sunu],アイスヌ,連
[⸢ʔai⸣ʣumi],アイズミ,名
[⸢ʔai⸣ʣumikiŋ],アイズミキン,名
[⸢ʔai⸣ʣumijaː],アイズミヤー,名
[ʔai⸢suŋ⸣keŋ],アイスンケン,副
[ʔai⸢daː],アイダー,連
[⸢ʔaida⸣ʧi],アイダチ,名
[⸢ʔaida⸣ʧi],アイダチ,名
[ʔaida⸢ʧeː⸣ma],アイダチェーマ,名
[⸢ʔai⸣ʦa],アイツァ,名
[⸢ʔaiʦaː⸣suŋ],アイツァースン,自動
[⸢ʔai⸣ʦaʔuʃi],アイツァウシ,名
[⸢ʔai⸣ʦabiːʦa],アイツァビーツァ,副
[⸢ʔai⸣ʦamuni],アイツァムニ,名
[ʔai⸢ʦoː],アイツォー,連
[⸣ʔaiʦoː],アイツォー,連
[ʔai⸢ʦoː⸣ʃeː],アイツォーシェー,連
[⸢ʔaiʦaː⸣suŋ],アイッツァースン,自動
[⸢ʔai⸣tiː],アイティー,名
[⸢ʔaina⸣ka],アイナカ,名
[⸣ʔainarikainari],アイナリカイナリ,副
[⸣ʔaini],アイニ,副
[⸣ʔaini],アイニ,副
[⸣ʔainikaini],アイニカイニ,名
[⸣ʔainuʃeː],アイヌシェー,感
[⸢ʔainu⸣ʃeː],アイヌシェー,感
[⸢ʔai⸣nupana],アイヌパナ,名
[⸣ʔaibu],アイブ,連体
[⸣ʔai ⸢buː munu],アイブームヌ,連
[⸢ʔai⸣pu̥su],アイプス,名
[ʔai⸢bu⸣ʦa],アイブツァ,連体
[⸣ʔaibu ⸣mununu],アイブムヌヌ,連
[ʔai⸢beː⸣ti],アイベーティ,接
[⸢ʔai⸣ma],アイマ,名
[⸢ʔaimaː⸣ruŋ],アイマールン,他動
[⸢ʔaima⸣ʧi],アイマチ,名
[⸢ʔaima⸣ʧi],アイマチ,感
[⸢ʔaima⸣ʧi ⸢suŋ],アイマチスン,連
[⸢ʔai⸣maruŋ],アイマルン,他動
[⸣ʔaimiː],アイミー,連
[⸣ʔaijaː],アイヤー,副
[⸣ʔaijaː ʔa⸢ra⸣nu],アイヤーアラヌ,連
[ʔai⸢jaː⸣kaː],アイヤーカー,接
[ʔai⸢jaː⸣ti],アイヤーティ,接
[⸣ʔai ⸢jatta],アイヤッタ,連
[⸣ʔai ja⸢rabaŋ],アイヤラバン,連
[⸣ʔai ja⸢ru⸣kaː],アイヤルカー,連
[⸣ʔai ⸢jarunu],アイヤルヌ,連
[⸣ʔai ja⸢runda],アイヤルンダ,連
[⸣ʔai ja⸢reː⸣ti],アイヤレーティ,連
[ʔai⸢janda],アイヤンダ,接
[ʔairu],アイル,副
[⸣ʔairu ⸣munu],アイルムヌ,連
[⸢ʔairuŋ],アイルン,自動
[⸢ʔairuŋ],アイルン,自動
[⸢ʔairuŋ],アイルン,自動
[⸢ʔairuŋ],アイルン,自動
[⸢ʔairuŋ],アイルン,他動
[⸣ʔaindu ja⸢ru⸣kaː],アインドゥヤルカー,連
[⸢ʔau],アウ,名
[⸣ʔau],アウ,名
[⸢ʔauau⸣ʃi],アウアウシ,副
[⸢ʔauirabuʧi],アウイラブチ,名
[⸢ʔauiru],アウイル,名
[⸢ʔaukari],アウカリ,名
[⸢ʔaugaŋ],アウガン,名
[⸢ʔaukuː],アウクー,名
[⸢ʔaukoːdʒi],アウコージ,名
[⸢ʔausabi],アウサビ,名
[⸢ʔauʣamuŋ],アウザムン,自動
[⸢ʔauʃiːsu],アウシース,名
[⸢ʔauʃiʤi],アウシジ,名
[⸢ʔauʃitadari],アウシタダリ,副
[⸢ʔauʃita⸣daru],アウシタダル,副
[⸢ʔauʤiru],アウジル,名
[⸢ʔau⸣ta],アウタ,名
[⸢ʔau⸣da],アウダ,名
[⸢ʔautaː],アウター,名
[⸢ʔaudaki],アウダキ,名
[⸢ʔauta⸣nu f⸢fa],アウタヌッふァ,連
[⸢ʔautamunu],アウタムヌ,名
[⸢ʔaudaŋ],アウダン,名
[⸢ʔaussaː⸣ŋ],アウッサーン,形
[⸢ʔaussari⸣kaʣa],アウッサリカザ,名
[⸢ʔaussari⸣munu],アウッサリムヌ,名
[⸢ʔautinʣoː],アウティンゾー,名
[⸢ʔautuː],アウトゥー,名
[⸢ʔaunaki],アウナキ,名
[⸢ʔauna⸣ʤi],アウナジ,名
[⸢ʔaunasuŋ],アウナスン,他動
[⸢ʔaunaru],アウナル,名
[⸢ʔaunuːru],アウヌール,名
[⸢ʔaunuːru],アウヌール,名
[⸢ʔaunuŋ],アウヌン,自動
[⸢ʔaunuŋ],アウヌン,自動
[⸢ʔaunuŋ],アウヌン,自動
[⸢ʔaupaː],アウパー,名
[⸢ʔaupaːongi],アウパーオンギ,名
[⸢ʔaubai],アウバイ,名
[⸢ʔaubasa],アウバサ,名
[⸢ʔaubatu],アウバトゥ,名
[⸢ʔaupanadaru],アウパナダル,名
[⸣ʔaupanari],アウパナリ,名
[⸢ʔaupaŋ],アウパン,名
[⸢ʔaupaŋ],アウパン,名
[⸢ʔaupiː],アウピー,名
[⸢ʔaupiki],アウピキ,名
[⸢ʔaupinakaŋ],アウピナカン,名
[⸢ʔauɸu̥ki],アウフキ,名
[⸢ʔauɸukuri],アウフクリ,名
[⸢ʔauboːda],アウボーダ,名
[⸢ʔaumami],アウマミ,名
[⸢ʔaumiː],アウミー,名
[⸢ʔaumiʦa],アウミツァ,名
[⸢ʔaumuʃi],アウムシ,名
[⸢ʔaumunu],アウムヌ,名
[⸢ʔaumuŋ],アウムン,自動
[⸢ʔaujasai],アウヤサイ,名
[⸢ʔau⸣ri],アウリ,名
[⸢ʔau⸣ri],アウリ,名
[⸢ʔau⸣ruŋ],アウルン,他動
[⸢ʔauŋ],アウン,自動
[⸢ʔauŋ],アウン,自動
[⸢ʔauŋ],アウン,自動
[⸢ʔauŋ],アウン,他動
[⸣ʔauŋ],アウン,自動
[⸣ʔauŋ],アウン,自動
[⸣ʔauŋ],アウン,自動
[⸢ʔauntaːruŋ],アウンタールン,自動
[⸢ʔaoː⸣ŋ],アオーン,形
[⸣ʔaka],アカ,名
[⸣ʔaka],アカ,名
[ʔa⸢ga],アガ,接頭
[ʔa⸢ga],アガ,接頭
[ʔa⸢ga⸣ː],アガー,感
[ʔa⸢gaːʔagaː⸣ʃi],アガーアガーシ,副
[ʔagaː⸢mui⸣saŋ],アガームイサン,形
[ʔa⸢gaː⸣ŋ],アガーン,形
[ʔa⸢gaʔaːgai],アガアーガイ,名
[ʔa⸢gaʔaːru],アガアール,名
[ʔa⸢gaʔiː],アガイー,名
[ʔa⸢gaʔika],アガイカ,名
[ʔa⸢gaʔiʣu],アガイズ,名
[ʔa⸢gaitu],アガイトゥ,名
[⸣ʔagaija],アガイヤ,感
[ʔa⸢gairabuʧi],アガイラブチ,名
[ʔa⸢gairu],アガイル,名
[ʔa⸢gaʔumuti],アガウムティ,名
[ʔa⸢kagaːra],アカガーラ,名
[ʔa⸢kagaːrajaː],アカガーラヤー,名
[ʔa⸢gakani],アガカニ,名
[ʔa⸢gakabi],アガカビ,名
[ʔa⸢gagamadʒi],アガガマジ,名
[⸣ʔakakaraʤi],アカカラジ,名
[ʔa⸢gakiː],アガキー,名
[ʔa⸢gakiŋ],アガキン,名
[ʔa⸢ga⸣kuŋ],アガクン,自動
[ʔa⸢gageː],アガゲー,名
[ʔa⸢gakoːʤi],アガコージ,名
[ʔa⸢gasanai],アガサナイ,名
[ʔa⸢gasabi],アガサビ,名
[ʔa⸢gasari],アガサリ,名
[ʔa⸢ka⸣ʃi],アカシ,名
[ʔa⸢gaʤiː],アガジー,名
[ʔa⸢gaʤiː],アガジー,名
[ʔa⸢gaʃiːʃi],アガシーシ,名
[ʔa⸢gaʃiːsu],アガシース,名
[ʔa⸢ka⸣ʃi̥kiŋ],アカシキン,名
[ʔa⸢kaʃi̥kim⸣buʃi],アカシキンブシ,名
[ʔa⸢gaʃitadaru],アガシタダル,名
[ʔa⸢kaʤinaː],アカジナー,名
[ʔa⸢gaʃinumaːru],アガシヌマール,名
[⸣ʔakaʃimaː],アカシマー,名
[ʔa⸢kadjzuː],アカジュー,名
[ʔa⸢ka⸣ʤiraː],アカジラー,名
[ʔa⸢gadʒiru],アガジル,名
[ʔa⸢gaʤiru],アガジル,名
[ʔa⸢gadʒiru],アガジル,名
[ʔa⸢gaʃiruʃi],アガシルシ,名
[ʔa⸢gaʤiŋ],アガジン,名
[ʔa⸢gaʣiŋ],アガジン,名
[ʔa⸢gaʤinnaː⸣ma],アガジンナーマ,名
[ʔa⸢ka⸣ʣumikiː],アカズミキー,名
[ʔa⸢ka⸣suri],アカスリ,名
[ʔa⸢ka⸣suŋ],アカスン,他動
[ʔa⸢ka⸣suŋ],アカスン,他動
[ʔa⸢ka⸣suŋ],アカスン,他動
[ʔa⸢gadaikuni],アガダイクニ,名
[⸣ʔagadaŋ],アガダン,名
[ʔa⸢gassu⸣çaː],アガッスヒャー,連
[ʔa⸢gaffaː⸣ma],アガッふァーマ,名
[ʔa⸢gaffaː⸣ma],アガッふァーマ,名
[ʔa⸢gatida],アガティダ,名
[ʔa⸢ka⸣tubi],アカトゥビ,名
[ʔa⸢ka⸣turu],アカトゥル,名
[ʔa⸢kanaː],アカナー,名
[ʔa⸢ganaːsaki],アガナーサキ,名
[ʔa⸢ga⸣niːbaru],アガニーバル,名
[ʔa⸢ganiʧi],アガニチ,名
[ʔa⸢ganuːnu],アガヌーヌ,名
[ʔa⸢ganuːru],アガヌール,名
[ʔa⸢kabaː],アカバー,名
[ʔa⸢gapaː],アガパー,名
[ʔa⸢kabaka],アカバカ,名
[ʔa⸢gapagi],アガパギ,名
[ʔa⸢gabasa],アガバサ,名
[ʔa⸢gapaʤi],アガパジ,名
[ʔa⸢gapaʤiŋ],アガパジン,名
[ʔa⸢kabata],アカバタ,名
[ʔa⸢kabata],アカバタ,名
[ʔa⸢kabata],アカバタ,名
[ʔa⸢kabata],アカバタ,名
[ʔa⸢gapata],アガパタ,名
[ʔa⸢gapadaka],アガパダカ,名
[ʔa⸢kahaʧi],アカハチ,名
[⸣ʔagapana],アガパナ,名
[ʔa⸢gapana],アガパナ,名
[ʔa⸢kabanikamasaː],アカバニカマサー,名
[ʔa⸢kabanibura],アカバニブラ,名
[ʔa⸢gapantari],アガパンタリ,名
[ʔa⸢gapiːkaː],アガピーカー,名
[ʔa⸢gapiːru],アガピール,名
[ʔa⸢gapiki],アガピキ,名
[ʔa⸢gapita],アガピタ,名
[ʔa⸢gapitʧiŋ],アガピッチン,名
[ʔa⸢gapitʧiŋ],アガピッチン,副
[ʔa⸢gapini],アガピニ,名
[ʔa⸢gapinsoː],アガピンソー,名
[ʔa⸢gabuː],アガブー,名
[ʔa⸢gaɸu̥ki],アガフキ,名
[⸣ʔakabuʣa],アカブザ,名
[⸣ʔakabuʣamai],アカブザマイ,名
[ʔa⸢gapusuma],アガプスマ,名
[ʔa⸢gaɸuda],アガフダ,名
[ʔa⸢gaɸubi],アガフビ,名
[ʔa⸢gapurimunu],アガプリムヌ,名
[ʔa⸢gabeː⸣ru],アガベール,感
[ʔa⸢gaboːda],アガボーダ,名
[ʔa⸢gamai],アガマイ,名
[ʔa⸢gamainu⸣ ʔiː],アガマイヌイー,連
[ʔa⸢gamasuŋ],アガマスン,他動
[⸣ʔakamataː],アカマター,名
[ʔa⸢kamaʧi],アカマチ,名
[ʔa⸢gamami],アガマミ,名
[ʔa⸢gamaminu⸣ ʔaŋ],アガマミヌアン,連
[ʔa⸢gamaminu⸣ʔiː],アガマミヌイー,名
[⸣ʔagamaraː],アガマラー,名
[⸣ʔagamaraːʔuʃi],アガマラーウシ,名
[ʔa⸢gamiː],アガミー,名
[ʔa⸢gamiː],アガミー,名
[ʔa⸢gamiːsu],アガミース,名
[ʔa⸢gamiʦa],アガミツァ,名
[ʔa⸢gamiʦaʤiː],アガミツァジー,名
[ʔa⸢gami⸣ruŋ],アガミルン,自動
[ʔa⸢gamuːʤi],アガムージ,名
[ʔa⸢gamuʧi],アガムチ,名
[ʔa⸢gamuʧi],アガムチ,名
[ʔa⸢gamunoː⸣ma],アガムノーマ,名
[ʔa⸢gamuŋ],アガムン,自動
[ʔa⸢ga⸣muŋ],アガムン,他動
[ʔaga⸢ja],アガヤ,感
[ʔaga⸢jaː],アガヤー,感
[⸣ʔagajaː],アガヤー,感
[⸣ʔagajaː],アガヤー,感
[ʔa⸢gajaːʔagaja⸣ʃi],アガヤーアガヤシ,副
[ʔagaja⸢heː],アガヤヘー,感
[ʔa⸢gajarabi],アガヤラビ,名
[ʔa⸢gajukuʃi],アガユクシ,名
[ʔa⸢gajoː],アガヨー,感
[ʔa⸢gajoːmui⸣saŋ],アガヨームイサン,形
[ʔa⸢ka⸣raː],アカラー,名
[ʔa⸢garapatara],アガラパタラ,副
[ʔa⸢garisaga⸣ri],アガリサガリ,名
[ʔa⸢gari⸣ʣatu],アガリザトゥ,名
[ʔa⸢kari⸣ruŋ],アカリルン,自動
[ʔa⸢kari⸣ruŋ],アカリルン,自動
[ʔakaru],アカル,名
[ʔa⸢karu],アカル,名
[ʔa⸢garuŋ],アガルン,自動
[ʔa⸢garuŋ],アガルン,自動
[ʔa⸢garoː⸣ʣa],アガローザ,名
[ʔa⸢garoː⸣ruŋ],アガロールン,自動
[ʔa⸢kaŋki],アカンキ,名
[ʔa⸢kaŋkiː],アカンキー,名
[ʔa⸢gantaːruŋ],アガンタールン,自動
[⸣ʔakammaːbuʃi],アカンマーブシ,名
[⸣ʔaki],アキ,名
[⸣ʔaki],アキ,名
[⸣ʔaki],アキ,名
[ʔa⸢ki],アキ,名
[ʔa⸢gi],アギ,名
[ʔa⸢giaba],アギアバ,名
[ʔa⸢giura⸣ʃi],アギウラシ,名
[ʔa⸢gikau],アギカウ,名
[ʔa⸢ki⸣kḁʦu],アキカツ,名
[ʔa⸢gi⸣sagi],アギサギ,名
[ʔa⸢kiʣama⸣ruŋ],アキザマルン,自動
[⸣ʔagiʣamijoː],アギザミヨー,感
[⸣ʔagiʣamijoː],アギザミヨー,感
[ʔa⸢giʤeː],アギジェー,感
[ʔa⸢giʤimaː],アギジマー,名
[ʔa⸢giʣoː],アギゾー,名
[ʔa⸢gisokkoː],アギソッコー,名
[ʔa⸢ki⸣taroː],アキタロー,名
[ʔa⸢kitiŋ⸣ ku⸢ri⸣tiŋ],アキティンクリティン,連
[ʔa⸢kitiŋkuri⸣tiŋ],アキティンクリティン,連
[ʔa⸢gidoːɸu],アギドーフ,名
[ʔa⸢ki⸣nai],アキナイ,名
[ʔa⸢ki⸣nai ⸢suŋ],アキナイスン,連
[ʔa⸢kinai⸣pu̥su],アキナイプス,名
[ʔa⸢kinai⸣munu],アキナイムヌ,名
[ʔa⸢ginabi],アギナビ,名
[ʔa⸢giniː],アギニー,名
[ʔa⸢ginu⸣ pu̥⸢su],アギヌプス,連
[ʔa⸢kipatakkuŋ],アキパタックン,他動
[ʔa⸢kipatiruŋ],アキパタティルン,自動
[ʔa⸢kipatissaːku],アキパティッサーク,名
[ʔa⸢kipatimuni],アキパティムニ,名
[ʔa⸢kipatiruŋ],アキパティルン,自動
[ʔa⸢kipatiwaʣa],アキパティワザ,名
[ʔa⸢gipani],アギパニ,名
[ʔa⸢kipajaː⸣ŋ],アキパヤーン,形
[ʔa⸢giɸuː],アギフー,名
[ʔa⸢kiɸui],アキフイ,名
[ʔa⸢gimaːsariŋ],アギマーサリン,自動
[ʔa⸢gimaːsuŋ],アギマースン,他動
[ʔa⸢kimiː],アキミー,名
[ʔa⸢kimikkwaː],アキミックヮー,名
[ʔa⸢gimusubi],アギムスビ,名
[ʔa⸢gimuʧi],アギムチ,名
[ʔa⸢gimunu],アギムヌ,名
[ʔa⸢gimunupaʃi],アギムヌパシ,名
[ʔa⸢kijaː],アキヤー,名
[ʔa⸢gi⸣jaː],アギヤー,名
[ʔa⸢kijaʃiki],アキヤシキ,名
[ʔa⸢gijadu],アギヤドゥ,名
[ʔa⸢kirami⸣ruŋ],アキラミルン,自動
[ʔa⸢kira⸣muŋ],アキラムン,自動
[ʔa⸢kirutuʔaː⸣ʃi],アキルトゥアーシ,副
[ʔa⸢kiruŋ],アキルン,自動
[ʔa⸢kiruŋ],アキルン,自動
[ʔa⸢kiruŋ],アキルン,自動
[ʔa⸢kiruŋ],アキルン,他動
[ʔa⸢giruŋ],アギルン,他動
[ʔa⸢giruŋ],アギルン,他動
[ʔa⸢giruŋ],アギルン,他動
[ʔa⸢ku],アク,名
[⸣ʔaku],アク,名
[⸣ʔaku],アク,名
[ʔa⸢ku⸣iŋ],アクイン,名
[ʔa⸢kuʣaka⸣ri],アクザカリ,名
[⸣ʔaku ⸢suŋ],アクスン,連
[ʔagu⸢daː⸣ma],アグダーマ,名
[ʔa⸢ku⸣niŋ],アクニン,名
[ʔa⸢ku⸣nu ⸣kaŋ],アクヌカン,連
[ʔa⸢kunuki],アクヌキ,名
[ʔa⸢kubi],アクビ,名
[ʔa⸢ku⸣ma],アクマ,名
[⸣ʔakujuku],アクユク,名
[ʔa⸢kuri⸣ruŋ],アクリルン,自動
[ʔa⸢kuŋ],アクン,他動
[ʔa⸢kuŋ],アクン,自動
[ʔa⸢guŋ],アグン,他動
[ʔa⸢guŋ],アグン,他動
[ʔa⸢guŋ],アグン,他動
[ʔa⸢koːkiː],アコーキー,名
[ʔa⸢go⸣ʧikiː],アゴチキー,名
[ʔa⸢gotʧeː⸣ma],アゴッチェーマ,名
[⸣ʔagoja],アゴヤ,名
[⸣asa],アサ,名
[⸣ʔaʣa],アザ,名
[ʔa⸢ʣa],アザ,名
[ʔa⸢ʣa],アザ,名
[ʔa⸢ʣaːra⸣suŋ],アザーラスン,他動
[ʔa⸢ʣaː⸣rikaʣaːri],アザーリカザーリ,副
[ʔa⸢ʣaːri⸣ruŋ],アザーリルン,自動
[ʔa⸢ʣaː⸣ruŋ],アザールン,自動
[ʔa⸢saː⸣ŋ],アサーン,形
[ʔa⸢saː⸣ŋ],アサーン,形
[ʔa⸢sa⸣ʔimi],アサイミ,名
[ʔa⸢sa⸣ʔuki],アサウキ,名
[ʔa⸢sakai],アサカイ,名
[ʔa⸢sa⸣kai],アサカイ,名
[ʔa⸢ʣa⸣kai],アザカイ,名
[ʔaʣakai⸢jaː⸣ma],アザカイヤーマ,名
[ʔa⸢ʣa⸣kaʣaː],アザカザー,名
[ʔa⸢sakaʤi],アサカジ,名
[ʔa⸢sakaŋgai],アサカンガイ,名
[ʔa⸢sakannaː⸣ru],アサカンナール,名
[ʔa⸢sa⸣ki],アサキ,名
[ʔa⸢sakiʤi],アサキジ,名
[ʔa⸢sakubiŋ],アサクビン,名
[ʔa⸢ʣa⸣keːŋ],アザケーン,形
[ʔa⸢sasaː],アササー,名
[ʔa⸢sa⸣ʃi],アサシ,名
[ʔa⸢saʃiga⸣ki],アサシガキ,名
[ʔa⸢sa⸣ʃuː],アサシュー,名
[ʔa⸢ʣakkaiparak⸣kai],アザッカイパラッカイ,副
[ʔa⸢ʣateː],アザテー,名
[ʔa⸢satida],アサティダ,名
[ʔa⸢sadoː⸣jajunta],アサドーヤユンタ,名
[ʔa⸢sa⸣turi],アサトゥリ,名
[ʔa⸢sa⸣turu],アサトゥル,名
[ʔa⸢ʣanaː],アザナー,名
[ʔa⸢ʣanaː⸣ŋ],アザナーン,形
[ʔa⸢sa⸣nibi],アサニビ,名
[ʔa⸢sanoː⸣ri],アサノーリ,名
[ʔa⸢sabaː],アサバー,名
[ʔa⸢sabasuŋ],アサバスン,他動
[ʔa⸢sa⸣pana],アサパナ,名
[ʔa⸢ʣabarai],アザバライ,名
[ʔa⸢ʣa⸣barai],アザバライ,名
[ʔa⸢ʣa⸣parai],アザパライ,名
