noisy_input,clean_katakana_target,phonemic_target
ムヌスコル,ムヌスコール,[mu⸢nusu̥koː⸣ru]
ヨオマルン,ヨーマルン,[⸢joː⸣maruŋ]
ミイカサマサアン,ミーカサマサーン,[⸢miːkasama⸣saːŋ]
カマチェーマ,カマチェーマ,[ka⸢maʧeː⸣ma]
ウズマリン,ウズマリン,[ʔu⸢ʣumariŋ]
バシヤ,バシャ,[ba⸢ʃa]
ジクサイ,ジークサイ,[⸢ʤiː⸣kusai]
ウシディ,ウシディ,[ʔu⸢ʃi⸣di]
チヤントウ,チャントゥ,[ʧan⸢tu]
クカニ,クガニ,[ku⸢gani]
ウイカイスン,ウイカイスン,[⸢ʔuikaisuŋ]
ヌキ,ヌキ,[nu⸢ki]
タガイルン,タガイルン,[ta⸢gai⸣ruŋ]
アカラパタラ,アガラパタラ,[ʔa⸢garapatara]
フナブキー,フナブキー,[ɸu⸢na⸣bukiː]
ティーカジ,ティーカジ,[⸢tiː⸣kaʤi]
シタデイヌツふア,シタディヌッふァ,[ʃi̥⸢tadi⸣nu f⸢fa]
ザコオカグ,ザコーカグ,[ʣa⸢koː⸣kagu]
ヌーテーナームティ,ヌーテーナームティ,[⸣nuːteː ⸢naː⸣muti]
ナマンダノリ,ナマンダノーリ,[na⸢mandanoːri]
ドゥパダニンガイ,ドゥーパダニンガイ,[⸣duːpadaniŋgai]
ジョムヌ,ジョームヌ,[⸢ʤoː⸣munu]
イラキムヌ,イラキムヌ,[ʔi⸢raki⸣munu]
ヤマザア,ヤマザー,[⸣jamaʣaː]
トウリアグン,トゥリアグン,[tu⸢ri⸣ʔaguŋ]
タドゥン,タドゥン,[ta⸢duŋ]
ヤナフチ,ヤナフチ,[ja⸢naɸu̥ʧi]
カビシキンガニ,カビシキンガニ,[ka⸢biʃi̥kiŋgani]
キムヌユリ,キムヌユリ,[ki⸢munu⸣ juri]
ティッスン,ティーッスン,[⸢tiː⸣ ssuŋ]
ヌ,ヌ,[⸣-nu]
マアスヤア,マースヤー,[⸢maː⸣sujaː]
アイティ,アイティー,[⸢ʔai⸣tiː]
ユナカソッコ,ユナカソッコー,[ju⸢nakasok⸣koː]
ビリブガリ,ビリブガリ,[bi⸢ribugari]
ミ,ミー,[⸢miː]
ティーホースン,ティーホースン,[⸣tiː ⸢hoː⸣suŋ]
フン,フーン,[⸣ɸuːŋ]
ハタウチ,バタウチ,[ba⸢ta⸣ʔuʧi]
フルマイ,フルマイ,[ɸu⸢rumai]
カラハタ,カラバタ,[ka⸢rabata]
アヤマアルン,アヤマールン,[ʔa⸢jamaː⸣ruŋ]
シヌミチ,シーヌミチ,[⸢ʃiːnu⸣ miʧi]
シザミドゥナ,シザミドゥナー,[ʃi⸢ʣamidu⸣naː]
ミーヌマイ,ミーヌマイ,[⸢miːnu⸣mai]
カシ,カシ,[⸣kḁʃi]
ハヤミク,ハヤミク,[ha⸢jami⸣ku]
ミートゥドゥクン,ミートゥドゥクン,[⸢miːtudu⸣kuŋ]
ウクビョ,ウクビョー,[ʔu⸢ku⸣bjoː]
プスン,プスン,[⸣pu̥suŋ]
ウフキ,ウブギ,[ʔu⸢bu⸣gi]
コシ,ゴーシ,[⸢goː⸣ʃi]
ンニアギ,ンニアギ,[ʔn⸢niʔagi]
ナサリカ,ナサリカー,[na⸢sa⸣rikaː]
ソープスンコーラシ,ソープスンコーラシ,[⸢soːpusuŋkoːra⸣ʃi]
ウスバスン,ウスバスン,[ʔu⸢subasuŋ]
ニビスコオル,ニビスコール,[ni⸢bisu̥koːru]
クリミジ,クーリミジ,[⸢kuːrimiʤi]
サニキム,サニキム,[sa⸢nikimu]
ッふァイヤン,ッふァイヤン,[f⸢faijaŋ]
バカプスマ,バカプスマ,[ba⸢kapusu⸣ma]
ピイマキシイプス,ピーマキシープス,[⸢piːmaki ʃiːpusu]
カミザー,カミザー,[ka⸢mi⸣ʣaː]
シマヌナイ,シマヌナイ,[ʃi⸢ma⸣nu ⸣nai]
ヌツツアールムヌ,ヌッツァールムヌ,[nut⸢ʦaː⸣ru ⸣munu]
プスマル,プスマール,[pu̥⸢sumaː⸣ru]
ウカツトオン,ウカットーン,[ʔu⸢kattoː⸣ŋ]
ニニチ,ニニチ,[ni⸢ni⸣ʧi]
シラガーウスマイテー,シラガーウスマイテー,[ʃi⸢ra⸣gaːʔusumaiteː]
シムン,シムン,[ʃi⸢muŋ]
イノンジー,イノンジー,[ʔi⸢nonʤiː]
ハシャ,バシャ,[ba⸢ʃa]
シキンコスン,シキンコースン,[ʃi̥⸢kiŋkoː⸣suŋ]
バタスクライ,バタスクライ,[ba⸢tasuku⸣rai]
バラフタジナ,バラフタジナ,[ba⸢raɸu̥⸣taʤina]
インアーサ,インアーサ,[⸣ʔiŋʔaːsa]
オオシバ,オーシバ,[⸢ʔoːʃiba]
ツサソオルン,ッサソールン,[⸣ssa ⸢soːruŋ]
ヌウ,ヌー,[nu⸢ː]
ソオプリムヌ,ソープリムヌ,[⸢soːpurimunu]
シムザ,シムザー,[ʃi⸢muʣaː]
ハッポー,ハッポー,[⸣happoː]
シミシウカアルン,シミシゥカールン,[ʃi⸢misi̥kaː⸣ruŋ]
ドゥル,ドゥル,[du⸢ru]
マアスダアラ,マースダーラ,[⸢maː⸣sudaːra]
コオジ,コージ,[⸢koːʤi]
ピームタビ,ピームタビ,[⸢piːmuta⸣bi]
パタヤヒプス,パダヤビプス,[pa⸢dajabi⸣pu̥su]
ミドウムウヤ,ミドゥムウヤ,[mi⸢dumu⸣ʔuja]
サカナシ,サカナシ,[sḁ⸢kanaʃi]
パニンガリ,パニンガーリ,[pa⸢niŋgaːri]
ドー,ドー,[⸢doː]
ムンミ,ムンミ,[⸢mum⸣mi]
ノースン,ノースン,[⸢noː⸣suŋ]
プサン,プサン,[⸣pu̥saŋ]
ユファラスン,ユファラスン,[ju⸢ɸarasuŋ]
カクチバルン,カクチバルン,[kḁ⸢ku⸣ʧi ba⸢ruŋ]
ナカスー,ナカスー,[na⸢ka⸣suː]
アンガマクイ,アンガマクイ,[⸢ʔaŋ⸣gamakui]
カウリドゥスウ,カウリドゥスー,[⸢kauridu suː]
ヤムン,ヤムン,[ja⸢muŋ]
アキパタックン,アキパタックン,[ʔa⸢kipatakkuŋ]
カムイ,カムイ,[ka⸢mui]
ナーッス,ナーッス,[⸢naːs⸣su]
ガラガラ,ガラガラ,[ga⸢ragara]
イジックナー,イジックナー,[ʔi⸢ʤikkunaː]
デンサアブシ,デンサーブシ,[⸢densaː⸣buʃi]
ミーヌドゥク,ミーヌドゥク,[⸢miː⸣nu ⸣duku]
トー,トー,[⸢toː]
ンベ,ンベー,[⸣ʔmbeː]
ッサイルン,ッサイルン,[s⸢sai⸣ruŋ]
ユウトゥル,ユートゥル,[⸢juː⸣turu]
ニイジル,ニージル,[⸢niːʤiru]
ッサムニ,ッサムニ,[s⸢sa⸣muni]
バタブタア,バタブター,[⸣batabutaː]
ヌキンズン,ヌキンズン,[nu⸢kin⸣ʣuŋ]
ナ,ナー,[⸢naː]
バカッサ,バカッサ,[ba⸢ka⸣ssa]
マイスルン,マイスールン,[⸢mai suː⸣ruŋ]
マガヤア,マガヤー,[ma⸢ga⸣jaː]
ティダヌアアリジブン,ティダヌアーリジブン,[ti⸢da⸣nu ⸢ʔaːriʤibuŋ]
カクスン,カクスン,[kḁ⸢ku⸣suŋ]
トウンズン,トゥンズン,[⸢tunʣuŋ]
トウ,トゥー,[⸢tuː]
ラリン,ラリン,[⸢ra⸣riŋ]
ウサムン,ウサムン,[ʔu⸢sa⸣muŋ]
キーヌミー,キーヌミー,[⸢kiː⸣nu ⸣miː]
トゥーヌクン,トゥーヌクン,[⸢tuːnukuŋ]
サキシギリ,サキシギリ,[sḁ⸢kiʃigiri]
ビン,ビン,[⸢biŋ]
シマクトゥバ,シマクトゥバ,[⸣ʃimakutuba]
ピャンティ,ピャンティ,[pjan⸢ti]
パタラキハナ,パタラキバナ,[pḁ⸢tarakibana]
ティバキ,ティーバキ,[⸢tiː⸣baki]
ナマパティムヌ,ナマパティムヌ,[na⸢mapati⸣munu]
タアタアティナアン,ターターティナーン,[⸢taːtaːti naː⸣ŋ]
アラキミチ,アラキミチ,[ʔa⸢raki⸣miʧi]
トゥムン,トゥムン,[⸣tumuŋ]
パンヌワザ,パンヌワザ,[⸢pan⸣nu ⸣waʣa]
ドウーナマリ,ドゥーナマリ,[⸣duːnamari]
アアラスン,アーラスン,[⸢ʔaːra⸣suŋ]
ヤラン,ヤーラーン,[⸢jaː⸣raːŋ]
ウシトゥミー,ウシトゥミー,[⸢ʔuʃitu⸣miː]
ユ,ユー,[⸣juː]
アングン,アングン,[⸢ʔaŋguŋ]
ウブナビ,ウブナビ,[ʔu⸢bu⸣nabi]
ナー,ナー,[⸢naː]
ウシットオスン,ウシットースン,[ʔu⸢ittoːsuŋ]
クノースン,クノースン,[ku⸢noː suŋ]
オオリタボオリ,オーリタボーリ,[⸢ʔoː⸣ri ta⸢boː⸣ri]
イツオーンプス,イツォーンプス,[ʔi⸢ʦoːm⸣pu̥su]
ユリイ,ユリー,[⸣juriː]
ゴーリバンスル,ゴーリバンスル,[⸢goːribansuru]
ムスン,ムスン,[mu⸢suŋ]
アハナヒ,アバナビ,[ʔa⸢ba⸣nabi]
ビンキヨー,ビンキョー,[⸢biŋkjoː]
ビーバクン,ビーバクン,[⸢biː⸣bakuŋ]
ドゥンガイリ,ドゥーンガイリ,[⸢duːŋgai⸣ri]
ウスリルン,ウスリルン,[ʔu⸢suri⸣ruŋ]
フルシケエ,フルシケー,[ɸu⸢ru⸣ʃi̥keː]
イズトゥリプス,イズトゥリプス,[ʔi⸢ʣuturi⸣pu̥su]
シーヌウチ,シーヌウチ,[⸢ʃiːnuʔuʧi]
クヤー,クヤー,[⸣kujaː]
シイハフイ,シーバフイ,[⸢ʃiː⸣ba ⸣ɸui]
シベーヤリウテーン,シベーヤリウテーン,[ʃi⸢beː⸣ jariʔuteːŋ]
パタトゥン,パータトゥン,[⸣paː ⸣tatuŋ]
ムヌツふアイプス,ムヌッふァイプス,[mu⸢nuffai⸣pu̥su]
バタアフツルンケエリ,バターフツルンケーリ,[⸣bataː ɸu̥⸢ʦuruŋkeː⸣ri]
シゥカナイムシ,シゥカナイムシ,[si̥⸢kanai⸣muʃi]
トウロオマ,トゥローマ,[tu⸢roː⸣ma]
カアチイ,カーチー,[⸢kaː⸣ʧiː]
ワザムチ,ワザムチ,[⸣waʣamuʧi]
カジマアルン,カジマールン,[ka⸢ʤi maːruŋ]
シディガラ,シディガラ,[ʃi⸢di⸣gara]
サカザア,サカザー,[sḁ⸢kaʣaː]
シタロオマ,シダローマ,[ʃida⸢roː⸣ma]
ヌヒヌヒ,ヌビヌビ,[nu⸢bi⸣nubi]
サミヌパナ,サミヌパナ,[sa⸢minu⸣ pana]
パーモー,パーモー,[⸢paː⸣moː]
ムヌクマーン,ムヌクマーン,[mu⸢nu⸣ ku⸢maː⸣ŋ]
パヤニビ,パヤニビ,[pa⸢ja⸣nibi]
パスクン,パスクン,[⸢pasu̥⸣kuŋ]
ンガピラク,ンガピラク,[ʔŋ⸢gapira⸣ku]
パヤアルン,パヤールン,[pa⸢jaː⸣ruŋ]
シスミルン,シズミルン,[ʃi⸢ʣumi⸣ruŋ]
ン,ン,[⸢ŋm、n、ŋ、ŋ]
ユレエヌスクレザアテエ,ユレーヌスクレザーテー,[ju⸢reːnu⸣ su̥⸢ku⸣reʣaːteː]
バッツァスン,バッツァースン,[⸢batʦaːsuŋ]
テエファ,テーファ,[⸢teː⸣ɸa]
シゥカル,シゥカル,[si̥⸢karu]
ナカ,ナカ,[⸣naka]
ヤコオマ,ヤコーマ,[ja⸢koː⸣ma]
スフハリ,スブバリ,[su⸢bu⸢bubari]
ヌミックル,ヌミックル,[nu⸢mik⸣kuru]
ウキズー,ウキズー,[ʔu⸢kiʣuː]
ナカスー,ナカスー,[na⸢ka⸣suː]
ザッカザッカ,ザッカザッカ,[⸣ʣakkaʣakka]
クジ,クージ,[⸢kuː⸣ʤi]
ミイフラッカスン,ミーフラッカスン,[⸢miːɸurakka⸣suŋ]
キスワン,キーズーワン,[⸢kiːʣuː⸣waŋ]
カ,カ,[⸢ka]
カタスブル,カタスブル,[kḁ⸢tasubu⸣ru]
ドゥタンガ,ドゥータンガ,[⸣duː ⸢taŋ⸣ga]
シーバン,シーバン,[⸢ʃiː⸣baŋ]
シナジナ,シナジナ,[ʃi⸢naʤina]
フチカカー,フチカカー,[ɸu̥⸢ʧikakaː]
ミイナダ,ミーナダ,[⸢miː⸣nada]
ウワルン,ウワールン,[ʔu⸢waːruŋ]
イノカジ,イノーカジ,[⸣ʔinoːkaʤi]
カケシムケシ,カケーシムケーシ,[kḁ⸢keː⸣ʃimukeːʃi]
ニヒントン,ニビントン,[ni⸢bintoŋ]
インパテエン,インパテーン,[⸢ʔimpa⸣teːŋ]
ンテナ,ンテーナ,[⸢nteː⸣na]
ヌキンジルン,ヌキンジルン,[nu⸢kiʔnʤi⸣ruŋ]
クースン,クースン,[⸢kuː⸣suŋ]
パナアスン,パナースン,[pa⸢naː⸣suŋ]
カタティマ,カタティマ,[kḁ⸢ta⸣tima]
ナベエラダナ,ナベーラダナ,[na⸢beː⸣radana]
キムパヤン,キムパヤーン,[ki⸢mupajaː⸣ŋ]
ヒキキイ,ビキキー,[bi⸢kikiː]
パンヌアトウ,パンヌアトゥ,[⸢pan⸣nu ⸣ʔatu]
ムサツトウ,ムサットゥ,[musat⸢tu]
パスコーン,パスコーン,[⸢pasu̥⸣koːŋ]
ミーキスン,ミーキスン,[⸢miː⸣ki̥suŋ]
ユチク,ユチク,[ju⸢ʧi⸣ku]
シンイズ,シンイズ,[⸣ʃiŋʔiʣu]
カキルン,カキルン,[kḁ⸢ki⸣ruŋ]
ナダラカ,ナダラカ,[na⸢dara⸣ka]
ギューケエラ,ギューケーラ,[⸢gjuːkeːra]
グイフ,グイフ,[⸢gui⸣ɸu]
ブウ,ブー,[⸣buː]
モオスン,モースン,[⸢moː⸣suŋ]
イーシプシ,イーシプシ,[⸢ʔiː⸣ʃipu̥ʃi]
ッふァイバナ,ッふァイバナ,[f⸢faibana]
トゥキイラナー,トゥキイラナー,[tu̥⸢kiʔira⸣naː]
ムシブシ,ムシブシ,[mu⸢ʃibuʃi]
アガマラーウシ,アガマラーウシ,[⸣ʔagamaraːʔuʃi]
カツフシシソヤ,カツブシシーゾーヤー,[kḁ⸢ʦubuʃi ʃiːʣoː⸣jaː]
タビ,タビ,[ta⸢bi]
スガリルン,スガリルン,[su⸢gariruŋ]
キムヌベン,キムヌベーン,[ki⸢munubeː⸣ŋ]
ウユブン,ウユブン,[ʔu⸢jubuŋ]
パナリジマ,パナリジマ,[pa⸢nari⸣ʤima]
ウキトゥミルン,ウキトゥミルン,[ʔu⸢kitumi⸣ruŋ]
カンザヤ,カンザヤー,[⸢kanʣa⸣jaː]
クヨオムン,クヨームン,[ku⸢joː⸣muŋ]
ティロマ,ティローマ,[ti⸢roː⸣ma]
サンジヌサフキ,サンジヌサーフキ,[⸢sanʤi⸣nu ⸢saː⸣ɸu̥ki]
オナマ,オーナーマ,[ʔoː⸢naː⸣ma]
ニン,ニン,[⸣niŋ]
ナダヤッサン,ナダヤッサン,[na⸢dajas⸣saŋ]
グクラク,グクラク,[gu⸢kura⸣ku]
ン,ン,[⸢ŋm、n、ŋ、ŋ]
マンカミチ,マンカミチ,[⸢maŋka⸣miʧi]
アシェー,アシェー,[⸣ʔaʃeː]
ナガムティ,ナガムティ,[na⸢gamuti]
アダニ,アーダニ,[⸢ʔaː⸣dani]
ゾフティ,ゾフティ,[ʣoɸu̥⸢ti]
ナアッス,ナーッス,[⸢naːs⸣su]
コパナ,コーパナ,[⸢koː⸣pana]
ナマパティムヌ,ナマパティムヌ,[na⸢mapati⸣munu]
パテイヨゾ,パティヨーゾー,[pḁ⸢tijoː⸣ʣoː]
ピキバ,ピキバ,[pi̥⸢ki⸣ba]
ッふァジマ,ッふァジマ,[f⸢faʤima]
タイガイ,タイガイ,[⸢tai⸣gai]
ツふカア,ッふカー,[f⸢fu⸣kaː]
アワサキ,アワザキ,[ʔa⸢waʣa⸣ki]
ヌチムイムヌ,ヌチムイムヌ,[nu⸢ʧimui⸣munu]
ウヤアンツン,ウヤーンツン,[ʔu⸢jaːn⸣ʦuŋ]
グソシタフ,グソーシタフ,[gu⸢soːʃita⸣ɸu]
トゥヌマールー,トゥヌマールー,[tu⸢numaː⸣ruː]
シラフニ,シラブニ,[ʃi⸢ra⸣buni]
パジアアラスン,パジアーラスン,[pa⸢ʤiʔaːra⸣suŋ]
キーダリ,キーダリ,[⸢kiːdari]
トウヌパタ,ドゥーヌパダ,[⸢duː⸣nu ⸣pada]
フーン,フーン,[⸣ɸuːŋ]
ピンソーミン,ピンソーミン,[⸢pinsoː⸣miŋ]
ナカイキ,ナガイキ,[na⸢gaʔiki]
クハムン,クバムン,[ku⸢ba⸣muŋ]
キイタティヤア,キータティヤー,[⸢kiːtati⸣jaː]
ユーシヌ,ユーシヌ,[⸢juːʃinu]
トゥル,トゥール,[⸢tuː⸣ru]
トウレ,トゥレー,[⸢-tureː]
シラプス,シラプス,[⸣ʃirapu̥su]
ハカスン,バカスン,[ba⸢kasuŋ]
タキカウ,タキカウ,[tḁ⸢kikau]
ガタ,ガタ,[⸣-gata]
サバ,サバ,[sa⸢ba]
ピキスングルン,ピキスングルン,[pi̥⸢kisuŋguruŋ]
パツツアースン,パッツァースン,[⸢patʦaː⸣suŋ]
イズベエスン,イズベースン,[ʔi⸢ʣu beː⸣suŋ]
パナトオリムヌ,パナトーリムヌ,[pa⸢natoːri⸣munu]
ピイザイ,ピーザイ,[⸢piː⸣ʣai]
アカガラ,アカガーラ,[ʔa⸢kagaːra]
イッスサー,イッスサー,[⸢ʔissu⸣saː]
クテインクテイン,クティンクティン,[⸣kutiŋkutiŋ]
ヤマウン,ヤマウン,[ja⸢ma⸣ʔuŋ]
スラズ,スラズー,[⸣suraʣuː]
ティーバタシ,ティーバタシ,[⸢tiːbata⸣ʃi]
ナライ,ナライ,[⸣narai]
ニイレエヌコンチェンマ,ニーレーヌコンチェンマ,[⸣niːreːnu kon⸢ʧem⸣ma]
アディンガー,アディンガー,[ʔa⸢diŋ⸣gaː]
アシ,アジ,[ʔa⸢ʤi]
ユチン,ユチン,[⸣juʧiŋ]
イザテ,イザテー,[ʔi⸢ʣa⸣teː]
シハルヌミ,シバルヌミー,[ʃi⸢baru⸣nu ⸣miː]
ヌ,ヌー,[nu⸢ː]
ナカトミチ,ナカドーミチ,[na⸢kadoː⸣miʧi]
サビ,サビ,[sa⸢bi]
マイスコール,マイスコール,[⸢maisu̥koː⸣ru]
アギナビ,アギナビ,[ʔa⸢ginabi]
ウイシミカシミ,ウイシミカーシミ,[⸢ʔuiʃimikaː⸣ʃimi]
マグン,マグン,[ma⸢guŋ]
マアラスン,マーラスン,[⸢maːrasuŋ]
アシジブン,アシジブン,[⸣ʔaʃiʤibuŋ]
テイサラン,ティーサラーン,[⸢tiː⸣ sa⸢raː⸣ŋ]
マリンガアリ,マリンガーリ,[ma⸢riŋgaːri]
パリマアキ,パリマーキ,[pa⸢rimaː⸣ki]
ユナアミナ,ユナーミナ,[ju⸢naːmina]
サキヌサカナ,サキヌサカナ,[sḁ⸢kinu⸣ sḁ⸢kana]
パジンキー,パジンキー,[pa⸢ʤiŋkiː]
ヤシムヌ,ヤシムヌ,[ja⸢ʃi⸣munu]
ヌウテエナアン,ヌーテーナーン,[⸣nuːteː ⸢naː⸣ŋ]
マーイーシ,マーイーシ,[⸢maːʔiːʃi]
ギリガタアン,ギリガターン,[gi⸢rigataː⸣ŋ]
ドゥーブニヤーラクン,ドゥーブニヤーラクン,[⸣duːbuni ⸢jaːrakuŋ]
ニーカタムン,ニーカタムン,[⸣niː kḁ⸢ta⸣muŋ]
イミアキ,イミアキ,[ʔi⸢miaki]
ナケエ,ナケー,[⸣nakeː]
ピビザヌヤ,ピビザヌヤー,[pi⸢biʣanu⸣jaː]
カサンパアウキ,カサンパーウキ,[kḁ⸢sam⸣paːʔuki]
キンハイ,ギンバイ,[⸢gimbai]
タルガキ,タルガキ,[ta⸢rugaki]
スウラスン,スーラスン,[⸢suːra⸣suŋ]
ンナ,ンーナー,[⸢ʔnː⸣naː]
ブ,ブー,[⸣buː]
カナヒテ,カナーヒーテー,[⸣kanaːçiːteː]
アトウシキ,アトゥシギ,[⸣ʔatuʃigi]
アマサキ,アマザキ,[ʔa⸢maʣaki]
ゾキ,ゾーキ,[⸢ʣoːki]
ネラ,ネーラ,[neː⸢ra]
ムヌバライ,ムヌバライ,[mu⸢nu⸣barai]
パトウザ,パトゥザ,[⸣pḁtuʣa]
クウフキウン,クーフキウン,[⸢kuːɸu̥ki⸣ʔuŋ]
シーダニバリ,シーダニバリ,[⸢ʃiː⸣dani ba⸢ri]
ヨルン,ヨールン,[⸢joː⸣ruŋ]
オオヌヤア,オーヌヤー,[⸢ʔoː⸣nujaː]
スーチズー,スーチズー,[⸢suː⸣ʧiʣuː]
ピイグトゥ,ピーグトゥ,[⸢piː⸣gutu]
